name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL1277677,CN(CC1=C2C(=CC(=O)N1Cc3ccncc3)NN(C2=O)c4ccccc4Cl)c5ccccc5,JBMFBKALKQFKHF-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL2403897,CC(C)(C)[C@H](NC(=O)OC1CCCC1)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5csc(n5)c6ccccc6,OYVFGYJTFBHDQA-GMDGRTAXSA-N,4.6,0.662757832
,CHEMBL3408278,C[C@@H](N(C)c1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N5CCC(O)CC5,UOZWDNWNBWHNIU-QGZVFWFLSA-N,4.6,0.662757832
Urea,CAS57-13-6,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,4.57,0.6599162
,CHEMBL199437,N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)N3CCSC3,XMSIQNYEJWCCQP-KRWDZBQOSA-N,4.56,0.658964843
,CHEMBL3098552,CO[C@H]1C(=O)[C@]2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccn6)C(=C1C5(C)C)C)OC(=O)OC,LOWBLHHNSSFOCY-CXBRHVDASA-N,4.53,0.656098202
,CHEMBL43426,CN(C)C(=O)Oc1ccc(C[C@H](NC(=O)[C@H]2N(CSC2(C)C)S(=O)(=O)c3ccn(C)n3)C(=O)OCC(C)(C)C)cc1,OVSJENUSNKIZTF-RBBKRZOGSA-N,4.52,0.655138435
,CHEMBL465957,OC(=O)C1CCN(C1)c2ccc(cn2)C(=O)Nc3nc(cs3)c4cccc(c4F)C(F)(F)F,QHDHUEIPKWBLKG-UHFFFAOYSA-N,4.5,0.653212514
,CHEMBL461454,COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CCN6CCOCC6)CC5,WJJQIXYSPBQXCQ-UHFFFAOYSA-N,4.5,0.653212514
,CHEMBL2403633,COc1ccc(C)cc1c2ccc(cn2)[C@@]3(C[C@H](N(C3)C(=O)[C@@H](NC(=O)OC4CCCC4)C(C)(C)C)C(=O)N[C@@]5(C[C@H]5C=C)C(=O)NS(=O)(=O)C6CC6)OC,JQTUURLNMMTJNF-LDTFTIGLSA-N,4.5,0.653212514
,CHEMBL565612,CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2,OAVGBZOFDPFGPJ-UHFFFAOYSA-N,4.5,0.653212514
,CHEMBL3145276,CC1=C(C(=O)Nc2cccc(c2)C(F)(F)F)C(=O)N(N1)c3ccccn3,OJTFQDDQXUJDHJ-UHFFFAOYSA-N,4.5,0.653212514
,CHEMBL2013172,CC[C@@H]1C[C@]1(NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@@H](NC(=O)O[C@H]3C[C@@H]4[C@H](C3)C4(F)F)C(C)(C)C)Oc5cc(nc6c(Cl)c(OC)ccc56)c7csc(NC(C)C)n7)C(=O)O,UUWFTJGLQJXXED-RSQGKITMSA-N,4.5,0.653212514
,CHEMBL2011118,CC(C)N1Cc2c(N[C@H](C)c3ccc(OC(F)(F)F)cc3)nc(nc2C1=O)N4CCN(CC4)C(=O)C,XFUQSGZNGBVIKN-OAHLLOKOSA-N,4.5,0.653212514
