name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL3394688,Cc1nc(sc1C(=O)NCc2cccnc2)N3C=NN(Cc4ccc(cc4)C(F)(F)F)C3=O,IQGJUDFNHPTCGC-UHFFFAOYSA-N,15,1.176091259
,CHEMBL3410438,Cc1cn2nc(cc2nc1N3CCC3)[C@@H]4CCCCN4C(=O)c5cc(Cl)ccc5NS(=O)(=O)C,KPAHPKMJWUAENF-FQEVSTJZSA-N,15,1.176091259
,CHEMBL2058841,Cc1ccc(Nc2c(nc3CNC(=O)Cn23)c4ccc(F)cc4)cc1,YKOYVAKYONAVHB-UHFFFAOYSA-N,15,1.176091259
,CHEMBL2087500,Cc1ccc(cc1c2ccn3c(nnc3c2)C(C)(C)C)C(=O)NC4CC4,QOUXRSOLEJEKEB-UHFFFAOYSA-N,15,1.176091259
,CHEMBL3427402,Cc1cc(OC(F)(F)F)ccc1C2=C(Oc3ccc(\C=C\C(=O)O)cc3)c4ccc(O)cc4OC2=O,SGOPFRYXITYBBT-NYYWCZLTSA-N,15,1.176091259
Tolfenamic acid,CAS13710-19-5,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,YEZNLOUZAIOMLT-UHFFFAOYSA-N,15,1.176091259
,CHEMBL3318705,CC(Nc1cc(Cl)ccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,IPFXWGVWKQFAMJ-UHFFFAOYSA-N,15,1.176091259
,CHEMBL3786085,CC(C)(C)C[C@@H](O)C(=O)N1NCC[C@H]1C(=O)NCc2cc(Cl)ccc2n3cnnn3,NVZBEYSHLUEKBD-JKSUJKDBSA-N,15,1.176091259
,CHEMBL3787487,CC(C)(C)[C@@H](O)C(=O)N1N=CC[C@H]1C(=O)NCc2cc(Cl)ccc2n3cnnn3,GKJWVEGVVAVPTI-GJZGRUSLSA-N,15,1.176091259
,CHEMBL236995,Fc1cnc(c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c4ccccc4)c12)n5ccnn5,YILIMUKOYIOIAY-UHFFFAOYSA-N,14.9,1.173186268
,CHEMBL3828222,CCCCc1ccc(cc1)c2nc(C)c(s2)c3ccnc(N)n3,QFLXHXZLICZABS-UHFFFAOYSA-N,14.9,1.173186268
,CHEMBL1509101,Cc1ccc(NS(=O)(=O)c2ccc3NC(=O)CCc3c2)cc1C,SNFROMRRGGKYTF-UHFFFAOYSA-N,14.9,1.173186268
,CHEMBL1945845,CC1=NNC(=O)C=C1c2ccc(OC3CCN(CC3)C4CCC4)cc2,SWBBNWYFIHQGLU-UHFFFAOYSA-N,14.9,1.173186268
,CHEMBL2315330,COc1ccc(c2nocn2)c3[nH]cc(C(=O)C(=O)N4CCN(CC4)C(=O)c5ccccc5)c13,JFZQBUUHNDQEOS-UHFFFAOYSA-N,14.8,1.170261715
,CHEMBL3586564,CO[C@@H]1CC[C@H](CC1)N2CC(=O)Nc3ncc(nc23)c4ccc(nc4C)c5nc[nH]n5,AHTXWEHJMLNLGH-HDJSIYSDSA-N,14.8,1.170261715
,CHEMBL1098726,CN1C(=O)N(C(=O)[C@]12CN(C[C@H]2c3ccc(cc3)C#N)c4ccc(cn4)C(=O)O)c5cc(Cl)cc(Cl)c5,LILGMDXLRPEBNH-HFZDXXHNSA-N,14.8,1.170261715
,CHEMBL3309338,CCCCCC(C)(C)Nc1ncccc1C(=O)NCC=C,PHECNFUVHNIITG-UHFFFAOYSA-N,14.7,1.167317335
,CHEMBL206550,CC1Cc2ccccc2C=C1c3cccnc3,ARDWAGDGUKXSPH-UHFFFAOYSA-N,14.7,1.167317335
,CHEMBL3322334,CC(C)(C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2cccc3ccccc23,SLCUFVJKMFKYEA-UYTYNIKBSA-N,14.67,1.166430114
,CHEMBL1683151,O=C(NC1(CCCC1)C(=O)N[C@H](CCCN2CCN(CC3CCOCC3)CC2)Cc4ccccc4)c5ccc6ccccc6c5,ZXRIWIVIXXWDGK-PGUFJCEWSA-N,14.65,1.165837625
,CHEMBL3427797,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC(C)C)N(C)C1=O,LPEIBVIZSPXCHX-DULUVLRMSA-N,14.65,1.165837625
,CHEMBL1083561,O=C(NC1(CCCC1)C(=O)N[C@@H](CCCN2CCN(CC3CCOCC3)CC2)Cc4ccccc4)c5ccc6ccccc6c5,ZXRIWIVIXXWDGK-DHUJRADRSA-N,14.6,1.164352856
,CHEMBL1603014,CC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3,IOWHNNUEAIMNRP-UHFFFAOYSA-N,14.6,1.164352856
,CHEMBL205881,C1Cc2ccccc2C=C1c3cccnc3,AXLDMZNUHQOZFK-UHFFFAOYSA-N,14.6,1.164352856
,CHEMBL2022626,CNC(=O)c1ccc2nc(n(C)c2c1)C(F)(F)F,XIXPZNZYGWXJSZ-UHFFFAOYSA-N,14.58,1.163757524
,CHEMBL3322321,C[C@@H]1C[C@@]1(C(=O)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c3cccc4ccccc34,TVXVBIYSBDOUFP-FENAYWNPSA-N,14.52,1.161966616
,CHEMBL3422476,OC(=O)c1oc(cc1)c2ccc(C(=S)NCc3ccc(cc3)c4ccnn4c5ccc(Cl)c(Cl)c5)c(Cl)c2,XXQKNGSPGDXDMG-UHFFFAOYSA-N,14.5,1.161368002
,CHEMBL1923502,O.Cl.C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc3ccc(F)cc3)C(=O)NCCCc4ccccc4O1,ZWIXEQBDJMFCMN-DHHNQDMHSA-N,14.5,1.161368002
,CHEMBL456932,COc1ccc(cc1)n2nc(c3CCN(C(=O)c23)c4ccc(cc4)C5(CC5)C6=NCCO6)C(F)(F)F,RMRLMDYMSAVBDS-UHFFFAOYSA-N,14.5,1.161368002
,CHEMBL457774,COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CS(=O)(=O)C)CC5,AYSPBVCSXJDUNN-UHFFFAOYSA-N,14.5,1.161368002
,CHEMBL250750,CCOP(=O)(OCC)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)CC=C)[C@@H]4CCC5=CC(=O)CCC5=C24,BBQPRPRCQIFLIO-PABOLRIOSA-N,14.5,1.161368002
,CHEMBL3290349,Cc1ncc(CN[C@@H]2CCN(CCN3C(=O)C=Cc4ccc(cc34)C#N)C[C@@H]2F)cc1C#N,MCTQBSWUEFTRJD-XZOQPEGZSA-N,14.5,1.161368002
,CHEMBL3608924,Cc1nc(NC(=O)N2CCC[C@@]2(C)C(=O)N)sc1c3csc(n3)C(C)(C)C,YDXUAMKMQQJWAK-SFHVURJKSA-N,14.5,1.161368002
,CHEMBL1923617,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](C)N(C)C1=O,UKTFKKQZZNIQCZ-QIDJRYDTSA-N,14.5,1.161368002
,CHEMBL243027,CC(C)(O)CCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,DLEVUSWAQFQDQE-UHFFFAOYSA-N,14.5,1.161368002
,CHEMBL3222237,CC(=O)NCc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O,BALRMJVERSQQLD-UHFFFAOYSA-N,14.5,1.161368002
,CHEMBL2316385,C[S+]([O-])Cc1ccc(C(=O)Nc2nccnc2C(=O)NCC3CCC3)c4ccccc14,RSYSXDBUOKOFIE-UHFFFAOYSA-N,14.5,1.161368002
Danazol,CAS17230-88-5,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,POZRVZJJTULAOH-LHZXLZLDSA-N,14.5,1.161368002
,CHEMBL3260771,[Na+].COc1ccc(nc1)c2ccc(OCc3cc(oc3C)C(=O)[N-]S(=O)(=O)c4ccccc4C)cc2,TVDHMDXPKGMXRT-UHFFFAOYSA-M,14.5,1.161368002
,CHEMBL462513,Oc1ccc(cc1)c2cc(cs2)c3cccc(O)c3,JECPEAXUEYTRPA-UHFFFAOYSA-N,14.4,1.158362492
,CHEMBL2386418,COc1ccc(\C=C\2/CNC\C(=C/c3ccc(OC)c(OC)c3)\C2=O)cc1OC,KNXCHAFCSTUPHS-BEQMOXJMSA-N,14.4,1.158362492
,CHEMBL2297450,COc1cc(ccc1O)C2Oc3ccc4C(=O)c5ccccc5Oc4c3OC2CO,NPNAAJZAXIAJHN-UHFFFAOYSA-N,14.4,1.158362492
,CHEMBL1093423,CCOc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1,WHSOLWOTCHFFBK-ZQGJOIPISA-N,14.4,1.158362492
,CHEMBL3775953,Fc1ccc(cc1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,DUTYNXONGTVYED-UHFFFAOYSA-N,14.33,1.15624619
,CHEMBL1667967,O=C1NC=Cc2cc(O[C@H]3CCCNC3)ccc12,SNQKPKFVSANKFP-LBPRGKRZSA-N,14.3,1.155336037
,CHEMBL504703,COc1ccc(cc1)n2nc(c3CCN(C(=O)c23)c4ccc(cc4)C5(CN6CCOCC6)CC5)S(=O)(=O)C.OC(=O)C(F)(F)F,DHFOGQJPFDAUEY-UHFFFAOYSA-N,14.3,1.155336037
,CHEMBL206886,CN(C(=O)Nc1ccc2c(c[nH]c2c1)c3ccncc3)c4ccccc4,ORUCRRGKIQFDCZ-UHFFFAOYSA-N,14.3,1.155336037
,CHEMBL207440,CC(C)C[C@H](NC(=S)Nc1ccccc1)C(=O)N[C@H]2CCOC2O,DFTOOBKXSNAAPW-ADTLFGHVSA-N,14.3,1.155336037
,CHEMBL1681921,CC[C@H](C)[C@H](NC(=O)C1SC(C)(C)SC1C(=O)O)C(=O)O,LLOIEYUTTOPMOQ-MSIFESELSA-N,14.25,1.153814864
,CHEMBL227686,Cn1c(S)nc2ccc(Cl)cc12,XRYCITIXNWOZBI-UHFFFAOYSA-N,14.1,1.149219113
,CHEMBL1778953,CC(C)NC(=O)CN1C(=O)c2cc(ccc2N=C1c3cccc(Cl)c3)c4cccc(CN5CCCCC5)c4,UXLNAPIVZYVPGF-UHFFFAOYSA-N,14.1,1.149219113
,CHEMBL575448,C[C@]1(CCCN1c2nc(Nc3cc([nH]n3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,LQVXSNNAFNGRAH-QHCPKHFHSA-N,14.1,1.149219113
,CHEMBL52160,C(COc1ccc(cc1)c2cc3ccccn3c2)CN4CCCCC4,KDEPDSHXUKZUKL-UHFFFAOYSA-N,14.1,1.149219113
,CHEMBL1650645,Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccnc4,AXMKFPDKHLZNID-UHFFFAOYSA-N,14,1.146128036
,CHEMBL2391800,O[C@H](COc1cc(F)ccc1C(=O)N2CC[C@H](O)C2)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,QUWJHBYTQZGSSF-SFTDATJTSA-N,14,1.146128036
,CHEMBL3099949,NC(=O)Nc1ccccc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,OOZRFFVYRKXFKQ-KRWDZBQOSA-N,14,1.146128036
,CHEMBL3355472,CS(=O)(=O)Cn1cnc2c(nc(cc12)c3cccc4[nH]ccc34)N5CCOCC5,RSBOHAFEBOHQLU-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3800231,COCCN(Cc1cc(cc2C(=O)C=C(Oc12)N3CCO[C@H](C)C3)C(=O)N(C)C)c4cc(F)cc(F)c4,ODXMHNGQPZYRBV-QGZVFWFLSA-N,14,1.146128036
,CHEMBL2177180,COCCCNC(=O)c1nc(cnc1N)c2ccc(cc2)S(=O)(=O)N3CCN(C)CC3,YVGRIAWEROZMPD-UHFFFAOYSA-N,14,1.146128036
,CHEMBL2403728,COc1ccccc1c2ccc(cc2)[C@@]3(C[C@H](N(C3)C(=O)[C@@H](NC(=O)OC4CCCC4)C(C)(C)C)C(=O)N[C@@]5(C[C@H]5C=C)C(=O)NS(=O)(=O)C6CC6)OC,HFPXGCHWWDUSBM-FPPHXSJRSA-N,14,1.146128036
,CHEMBL3120767,COc1ccc2c(O[C@@H]3C[C@@H]4N(C3)C(=O)[C@H](CCCCC\C=C/[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6(C)CC6)NC(=O)c7ccn(C)n7)cc(OC(C)C)nc2c1C,WSEPMWSQALXHKW-WDBXFCNMSA-N,14,1.146128036
,CHEMBL3347401,COc1cc(Nc2nc3N(Cc4ccccc4C)C(=O)CCn3n2)ccc1c5cnnc(C)c5,AIIXJIZRCORSOE-UHFFFAOYSA-N,14,1.146128036
,CHEMBL2397585,CNc1ccc(cn1)C2=NC(=O)N(C(C)CC3CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,QGNMSXUYMPGHQV-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3410433,CNc1c(C)c(C)nc2cc(nn12)[C@@H]3CCCCN3C(=O)c4cc(C)ccc4NS(=O)(=O)C,DYBMCEBGCQBORH-FQEVSTJZSA-N,14,1.146128036
,CHEMBL2391793,CNC(=O)c1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,ZOUTXIIJDDJYDB-SFHVURJKSA-N,14,1.146128036
,CHEMBL2177161,CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cccnc4,FHCSBLWRGCOVPT-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3824068,CN1CCN(CC1)c2ccc(cc2)n3cc(cn3)c4ccncc4OCC5CCNCC5,BLFBSGVUERKSST-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3763621,CN1C(=O)N(C(=C(NC(=O)c2c(C)c(O)c(C)c3CC(C)(C)Oc23)C1=O)N)c4cccc(C)c4,MBKMLIIFMJXBMC-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3408617,CCOc1nc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ccc(F)cn6)n(C)c4c3)ccc1\C=C\C(=O)O,VSPNGUICXASBGB-LFIBNONCSA-N,14,1.146128036
,CHEMBL538956,CCOC(=O)N1CCN(CCCCCCCN2[C@@H]3CC[C@H]2C[C@H](C3)NC(=O)C4=Cc5ccccc5N(C(C)C)C4=O)CC1,ABBXOBHUMXCOGM-PKQPGRETSA-N,14,1.146128036
,CHEMBL1077779,CCCCC1N(CC2CCCCC2)C(=O)OC13CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cccc5C,FRWMBAREYKAXIM-UHFFFAOYSA-N,14,1.146128036
,CHEMBL240566,CCc1nc(N)nc(N)c1c2ccc3OC(C)(CC)C(=O)N(CCCOC)c3c2,RNPYGOUJOKJBQI-UHFFFAOYSA-N,14,1.146128036
,CHEMBL2024172,CCc1ccnc(c1)C(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)Cc5cc(C)c6[nH]ncc6c5,SOARTUYTWPOQMP-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3259907,Cc1nc2ccccc2c(c3ccc4OCCc5ccnc3c45)c1[C@H](OC(C)(C)C)C(=O)O,MIXIIJCBELCMCZ-VWLOTQADSA-N,14,1.146128036
,CHEMBL2397563,Cc1nc2cc(ccc2n1C)C3=NC(=O)N(CCC4CCCO4)c5c3oc6ncc(cc56)c7cnn(C)c7,CCCGMNJZPJSHEU-UHFFFAOYSA-N,14,1.146128036
,CHEMBL235853,CC1CCc2cccc(C[C@@](C)(N)C(=O)OCc3cc(CC1)nc(c3)N(C)S(=O)(=O)C)c2,QWDOKZPZLWNULU-FZYLFJGDSA-N,14,1.146128036
,CHEMBL3134104,CC1(C)NC(=O)c2cc(cc(F)c2NC1=O)S(=O)(=O)Nc3ccc(cc3)C(F)(F)F,YQMPRSFJKXDUSU-UHFFFAOYSA-N,14,1.146128036
,CHEMBL3616789,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)N(C)C(=O)[C@@H](NC(=O)c4csc(n4)[C@@H](NC(=O)[C@@H]5CCCN5C1=O)[C@@H](C)CC)C(C)(C)C,HIVTXBSWOJIFPY-MZMJYJJTSA-N,14,1.146128036
,CHEMBL538635,CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C[C@@H](O)CN5CCN(CC5)S(=O)(=O)C,ABRIRNSRFVVIJK-KIHHCIJBSA-N,14,1.146128036
,CHEMBL567728,CC(C)(F)c1onc(n1)[C@@H]2CCCN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F,RHMVNRUGRITMJY-ABAIWWIYSA-N,14,1.146128036
,CHEMBL3353881,CC(C)(C)c1cc(NC(=O)[C@@H]2CCC(=O)N2c3ccc(cc3)C(F)(F)F)on1,GQCPYMUOLFAADB-ZDUSSCGKSA-N,14,1.146128036
,CHEMBL2152525,C1CCN(C1)[C@@H]([C@H](N2CCCC2)c3ccccc3)c4ccccc4,XAMJZICIEQIVJK-FGZHOGPDSA-N,14,1.146128036
,CHEMBL1935114,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C(C)(C)C3,YPQYVVMLRSSTFW-OAHLLOKOSA-N,14,1.146128036
,CHEMBL3408270,C[C@@H](Nc1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCO[C@@H](C)C4)C(=O)N(C)C,LXCSAPOGAXFOIJ-LSDHHAIUSA-N,14,1.146128036
,CHEMBL1761863,O=C(N1CCC(C1)c2cn[nH]c2)N3CCNc4ccccc34,MOXFLCBCDLHKPP-UHFFFAOYSA-N,13.9,1.1430148
,CHEMBL368511,COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(F)cccc4Br)C2=O)c1F,JPJCBKFCBLFFDG-IBGZPJMESA-N,13.9,1.1430148
,CHEMBL2397482,CN[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,FDQKVVSGMVCGPK-IRXDYDNUSA-N,13.9,1.1430148
,CHEMBL3237014,CN(c1ccc(cc1)C(=O)C)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(cc3)C#N,DHFJRLKZNDZRNH-UHFFFAOYSA-N,13.9,1.1430148
,CHEMBL2440464,CCCCOC(=O)c1ccccc1c2ccc(CN3CCC(COC(=O)c4c5OCCCn5c6ccccc46)CC3)cc2.CS(=O)(=O)O,XQKXXSZEKLHXHR-UHFFFAOYSA-N,13.9,1.1430148
,CHEMBL583658,Cc1cccc(n1)C(=O)N[C@@H]2C[C@@H](C2)n3cnc(NC(=O)Cc4cccc5ccccc45)c3,WESLFWSZUGLONY-OYRHEFFESA-N,13.9,1.1430148
,CHEMBL3309336,CC(C)CCN1C(=O)N(CCC(C)C)c2ncccc2C1=O,LZLQKZGZFKECGA-UHFFFAOYSA-N,13.9,1.1430148
,CHEMBL3425618,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)N(C)C1=O,LPEIBVIZSPXCHX-MAVCTHMOSA-N,13.9,1.1430148
,CHEMBL2323805,CCCCCCOC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,APXHGZRGDOIAAO-UHFFFAOYSA-N,13.88,1.142389466
,CHEMBL1683148,Fc1cc(ccc1C(=O)NC2(CCCC2)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCC4CCN(CC5CCOCC5)CC4)n6cccc6,ZDMDLPSBBZSJEE-UMSFTDKQSA-N,13.8,1.139879086
,CHEMBL246470,COc1ccc2cncc(Cc3nc4N(CC(C)C)C(=O)N(C)C(=O)c4[nH]3)c2c1,NMTKJEZOWHRAQY-UHFFFAOYSA-N,13.8,1.139879086
,CHEMBL402027,CN(CC(=C)F)C(=O)[C@]1(C[C@H]1CN)c2ccsc2,CMSMRUGCRICBLQ-WCQYABFASA-N,13.8,1.139879086
,CHEMBL2332338,Cc1ncn(n1)c2ncc(F)c3c(c[nH]c23)C(=O)C(=O)N4CCN(CC4)C(=O)c5ccccc5,BYCDUDVXHQBFLJ-UHFFFAOYSA-N,13.8,1.139879086
Celecoxib,CAS169590-42-5,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,13.8,1.139879086
,CHEMBL471475,Oc1cccc(C[C@H]2COC(=O)[C@@H]2Cc3cccc(O)c3)c1,HVDGDHBAMCBBLR-WMLDXEAASA-N,13.7,1.136720567
,CHEMBL243028,OC1(CCn2c(CN3C(=O)N(C4CC4)c5ccncc35)nc6ccccc26)CC1,KACANZKCEBVPSW-UHFFFAOYSA-N,13.7,1.136720567
,CHEMBL456677,COc1ccc(cc1)n2nc(C#N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CN6CCOCC6)CC5,MQGZRCWHRHRCSR-UHFFFAOYSA-N,13.7,1.136720567
,CHEMBL1258806,CNc1nc2sc3c(NCCN4CCOCC4)ncnc3c2c5CC(C)(C)CCc15,CKDYACSCRUTGHR-UHFFFAOYSA-N,13.7,1.136720567
,CHEMBL1083846,Clc1ccc2oc(cc2c1)C(=O)NC3(CCCC3)C(=O)N[C@@H](CCCN4CCN(CC5CCOCC5)CC4)Cc6ccccc6,QXHSKALBSZTNEQ-HKBQPEDESA-N,13.7,1.136720567
,CHEMBL471002,CCN(CC=C)C(=O)[C@]1(C[C@H]1CN)c2cccs2,VXBRIAOTINONRK-FZMZJTMJSA-N,13.7,1.136720567
,CHEMBL1096827,CC(=O)N1C[C@H](C[C@@H]1C(=O)N2CCCN(CC2)C3CCC3)Oc4cccc(F)c4,USNNNBJEPXKOFF-LEWJYISDSA-N,13.7,1.136720567
,CHEMBL1945843,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=CC(=O)N(N=C3)c4ccccn4,HBDLBTSITBUDIR-GOSISDBHSA-N,13.7,1.136720567
,CHEMBL1684991,CC1(C)SC(C(S1)C(=O)O)C(=O)O,IZRAERNBXVOHGW-UHFFFAOYSA-N,13.68,1.136086097
,CHEMBL3407905,OC(=O)c1cc(ncn1)c2ccc(F)c(F)c2,LCWISMLAGSYMOD-UHFFFAOYSA-N,13.6,1.133538908
,CHEMBL1083560,O=C(NC1(CCCC1)C(=O)N[C@@H](CCCN2CCN(CC3CCOCC3)CC2)Cc4ccccc4)c5ccc(cc5)c6ccccc6,PGRZDFUKUNJXDD-QNGWXLTQSA-N,13.6,1.133538908
,CHEMBL3290351,COc1cnc2C=CC(=O)N(CCN3CC[C@@H](NCc4cnc(C)c(c4)C#N)[C@@H](F)C3)c2c1,JPVZGUIKEVQAFO-LEWJYISDSA-N,13.6,1.133538908
,CHEMBL2087428,COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)C(C)(C)CN(C)C,KSTVWFLNARVRQT-UHFFFAOYSA-N,13.6,1.133538908
,CHEMBL3290339,Cc1ncc(CNC2CCN(CCN3C(=O)C=Cc4ccc(cc34)C#N)CC2)cc1C#N,PNPDBMVLOYDSJD-UHFFFAOYSA-N,13.6,1.133538908
,CHEMBL377085,Cc1cc(C)c2c(N)c(sc2n1)C(=O)N,SDMLKCQDZJOSDN-UHFFFAOYSA-N,13.6,1.133538908
,CHEMBL2086480,C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)C3CCCC3,WAZOFYYWAQHTQZ-UHFFFAOYSA-N,13.6,1.133538908
,CHEMBL1683153,COc1cc2ccccc2cc1C(=O)NC3(CCCC3)C(=O)N[C@H](CCCN4CCN(CC5CCOCC5)CC4)Cc6ccccc6,MOPFRPUDCVVVPA-UUWRZZSWSA-N,13.55,1.131939295
,CHEMBL2332326,Fc1cnc(c2ocnc2)c3[nH]cc(C(=O)C(=O)N4CCN(CC4)C(=O)c5ccccc5)c13,BKTSRBTZGGUXTK-UHFFFAOYSA-N,13.5,1.130333768
,CHEMBL206351,COc1ccc2C=C(CCc2c1)c3cccnc3,WUTGTMFGCHNUET-UHFFFAOYSA-N,13.5,1.130333768
,CHEMBL3092467,COc1ccc(Cl)c(c1)S(=O)(=O)Nc2ccc(cc2)c3cnc4c(C)n[nH]c4n3,LQOIAHRPEWFITJ-UHFFFAOYSA-N,13.5,1.130333768
,CHEMBL1950773,Cn1c2CC3CCC(N3)c2c4cc(ccc14)S(=O)(=O)n5ccc6ccccc56,UBEQSQLTEHXJHF-UHFFFAOYSA-N,13.5,1.130333768
,CHEMBL2332935,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,JWMBFLXRBZIVNF-IBGZPJMESA-N,13.5,1.130333768
,CHEMBL1232769,C[C@H](CS(=O)(=O)C)Nc1ncc2C=C(Oc3ccc(F)cc3F)C(=O)N(C)c2n1,DVEYHFXOGUYFBU-SNVBAGLBSA-N,13.5,1.130333768
,CHEMBL1829335,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C=C3,XUKROCVZGZNGSI-CQSZACIVSA-N,13.5,1.130333768
,CHEMBL3422651,CC(C)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)[C@@H]4CCCN4)cc3)ccc12,OOGHGWKBJXQNEJ-QFIPXVFZSA-N,13.41,1.127428778
,CHEMBL3233281,Cc1ccc(F)cc1C(C)(C)C[C@@](O)(Cc2cc3cnccc3[nH]2)C(C)(C)C,CFDUSNZVLMAHPE-DEOSSOPVSA-N,13.4,1.127104798
,CHEMBL400307,CC1=Nc2c(cnn2c3cccc(C)c3)C(=O)N1c4ccc(Cl)cc4,XLCPROQNAKTQDD-UHFFFAOYSA-N,13.4,1.127104798
,CHEMBL1277399,CC1=C2C(=CC(=O)N1Cc3ccccn3)NN(C2=O)c4ccc(F)cc4Cl,DMCXPJYWZNDCID-UHFFFAOYSA-N,13.4,1.127104798
,CHEMBL3092460,Nc1n[nH]c2nc(cnc12)c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3,MBNNXCKHRKSGSU-UHFFFAOYSA-N,13.3,1.123851641
,CHEMBL2152524,C1CCN(C1)[C@H]([C@@H](N2CCCC2)c3ccccc3)c4ccccc4,XAMJZICIEQIVJK-VXKWHMMOSA-N,13.3,1.123851641
,CHEMBL1643675,C1Cc2nc3ccnn3c(N4CC(C4)Oc5ccccc5)c2CCN1,KEOBEGKGLRTEQM-UHFFFAOYSA-N,13.3,1.123851641
,CHEMBL234479,Oc1ccc(cc1)c2ccc(cc2)c3n[nH]c4c3Cc5cc(ccc45)C(=O)NCc6ccccn6,GALUBKKRBHABCT-UHFFFAOYSA-N,13.26,1.122543524
,CHEMBL3628727,COc1ccc(Oc2cc(ccc2NS(=O)(=O)C)[N+](=O)[O-])cc1,OBTVYILXIRNVAP-UHFFFAOYSA-N,13.25,1.122215878
